,,,,,"Where they exist, UN/LOCODEs were used:",https://service.unece.org/trade/locode/cd.htm
,,,,,,
,,,End Points - Survey,,,
,#,Code,Ville,Province,Plus Code,G Maps
,102,NMT,New Mitumba,Lualaba,5GX8944H+WQ,https://www.google.com/maps/place/5GX8944H%2BWQ
,103,OCH,Oicha,Nord-Kivu,6GGFMGW8+7P,https://www.google.com/maps/place/6GGFMGW8%2B7P
,104,PEN,Penemende,Maniema,6G7CP5QC+X9,https://www.google.com/maps/place/6G7CP5QC%2BX9
,105,PTG,Pene Tungu,Tshopo,6GF7VJ7G+2Q,https://www.google.com/maps/place/6GF7VJ7G%2B2Q
,106,PUN,Punia,Maniema,6GC8GCQR+84,https://www.google.com/maps/place/6GC8GCQR%2B84
,107,RNZ,Runzai,Nord-Kivu,6GGFC57C+VF,https://www.google.com/maps/place/6GGFC57C%2BVF
,108,RWD,Rwindi,Nord-Kivu,6GFF676V+H5,https://www.google.com/maps/place/6GFF676V%2BH5
,109,SBZ,Shaibanzu,Kasaï,6G42PPG5+5J,https://www.google.com/maps/place/6G42PPG5%2B5J
,110,SFG,SNEL Fungurume,Lualaba,5GX8C89F+MV,https://www.google.com/maps/place/5GX8C89F%2BMV
,111,SKE,Sake,Nord-Kivu,6GCFC3H2+GX,https://www.google.com/maps/place/6GCFC3H2%2BGX
,112,SKW,SNEL Kolwezi,Lualaba,5GX78FR2+VV,https://www.google.com/maps/place/5GX78FR2%2BVV
,113,SMB,Samba,Maniema,6G789955+QV,https://www.google.com/maps/place/6G789955%2BQV
,114,SPL,SNEL Panda Likasi,Haut-Katanga,5GW8XQF2+MX,https://www.google.com/maps/place/5GW8XQF2%2BMX
,115,TCH,Tchomia,Ituri,6GHGCFWH+CP,https://www.google.com/maps/place/6GHGCFWH%2BCP
,116,TDA,Tchibanda,Sud-Kivu,6G9CMQ89+54,https://www.google.com/maps/place/6G9CMQ89%2B54
,117,TGO,Tongo,Nord-Kivu,6GCFQ6QG+3C,https://www.google.com/maps/place/6GCFQ6QG%2B3C
,118,TNK,Tenke,Lualaba,5GX8C449+83,https://www.google.com/maps/place/5GX8C449%2B83
,119,TSB,Tshibila,Kasaï-Oriental,6G55WQ74+68,https://www.google.com/maps/place/6G55WQ74%2B68
,120,TSG,Tshilenge,Kasaï-Oriental,6G55QQ74+QC,https://www.google.com/maps/place/6G55QQ74%2BQC
,121,TSH,Tshikapa,Kasaï,6G52HQJV+C5,https://www.google.com/maps/place/6G52HQJV%2BC5
,122,TSK,Tshipoko,Kasaï,6G623G5X+QF,https://www.google.com/maps/place/6G623G5X%2BQF
,123,TSL,Tshimala,Kasaï-Central,6G6562WG+M3,https://www.google.com/maps/place/6G6562WG%2BM3
,124,UVI,Uvira,Sud-Kivu,6G8FJ5W4+R5,https://www.google.com/maps/place/6G8FJ5W4%2BR5
,125,VKU,Visiki-Usine,Nord-Kivu,6GGF96QH+MH,https://www.google.com/maps/place/6GGF96QH%2BMH
,126,WMZ,Wamaza,Maniema,6G79R33X+Q4,https://www.google.com/maps/place/6G79R33X%2BQ4
,127,NGA,Ngalula,Sud-Kivu,6G7C2RM7+MR,https://www.google.com/maps/place/6G7C2RM7%2BMR
,128,MAL,Malobe,Tanganyika,6G6CXR5V+H3,https://www.google.com/maps/place/6G6CXR5V%2BH3
,129,SIB,Sibokomba,Tanganyika,6G6CXR9F+M8,https://www.google.com/maps/place/6G6CXR9F%2BM8
,130,NML,Nyangi Milimba,Sud-Kivu,6G6CXRVQ+X3,https://www.google.com/maps/place/6G6CXRVQ%2BX3
,131,MEA,Mateya,Kongo-Central,6F6JJWM2+F76,https://www.google.com/maps/place/6F6JJWM2%2B76
,132,KVA,Kivuluta,Kongo-Central,6F6JRX2P+5H,https://www.google.com/maps/place/6F6JRX2P%2B5H
,133,NBI,Nsumbi,Kongo-Central,6F7M28VP+954,https://www.google.com/maps/place/6F7M28VP%2B54
,134,NLO,Ndalatando,Kongo-Central,6F7P49CG+64W,https://www.google.com/maps/place/6F7P49CG%2B4W
,135,BZV,Brazzaville,Brazzaville,6F7QP7MM+4RR,https://www.google.com/maps/place/6F7QP7MM%2BRR
,136,KNZ,Kinzao,Kongo-Central,6F6MG73Q+7Q,https://www.google.com/maps/place/6F6MG73Q%2B7Q
,137,IGA,Inga,Kongo-Central,6F6MFHPJ+P8,https://www.google.com/maps/place/6F6MFHPJ%2BP8
,138,MTE,Manterne,Kongo-Central,6F6M8348+V36,https://www.google.com/maps/place/6F6M8348%2B36
